,Datetime,Location,Power,Time,Date
2274,2021-10-15T00:10:00,campus,38.1,00:10:00,2021-10-15
2284,2021-10-15T00:20:00,campus,37.6,00:20:00,2021-10-15
2294,2021-10-15T00:30:00,campus,37.3,00:30:00,2021-10-15
2304,2021-10-15T00:40:00,campus,37.3,00:40:00,2021-10-15
2314,2021-10-15T00:50:00,campus,37.0,00:50:00,2021-10-15
2324,2021-10-15T01:00:00,campus,36.4,01:00:00,2021-10-15
2334,2021-10-15T01:10:00,campus,35.6,01:10:00,2021-10-15
2344,2021-10-15T01:20:00,campus,34.9,01:20:00,2021-10-15
2354,2021-10-15T01:30:00,campus,34.5,01:30:00,2021-10-15
2364,2021-10-15T01:40:00,campus,33.9,01:40:00,2021-10-15
2374,2021-10-15T01:50:00,campus,32.7,01:50:00,2021-10-15
2384,2021-10-15T02:00:00,campus,31.6,02:00:00,2021-10-15
2394,2021-10-15T02:10:00,campus,31.8,02:10:00,2021-10-15
2404,2021-10-15T02:20:00,campus,32.8,02:20:00,2021-10-15
2414,2021-10-15T02:30:00,campus,33.1,02:30:00,2021-10-15
2424,2021-10-15T02:40:00,campus,32.7,02:40:00,2021-10-15
2434,2021-10-15T02:50:00,campus,32.5,02:50:00,2021-10-15
2444,2021-10-15T03:00:00,campus,32.6,03:00:00,2021-10-15
2454,2021-10-15T03:10:00,campus,32.7,03:10:00,2021-10-15
2464,2021-10-15T03:20:00,campus,32.3,03:20:00,2021-10-15
2474,2021-10-15T03:30:00,campus,32.5,03:30:00,2021-10-15
2484,2021-10-15T03:40:00,campus,33.3,03:40:00,2021-10-15
2494,2021-10-15T03:50:00,campus,34.2,03:50:00,2021-10-15
2504,2021-10-15T04:00:00,campus,34.2,04:00:00,2021-10-15
2514,2021-10-15T04:10:00,campus,33.8,04:10:00,2021-10-15
2524,2021-10-15T04:20:00,campus,33.3,04:20:00,2021-10-15
2534,2021-10-15T04:30:00,campus,33.0,04:30:00,2021-10-15
2544,2021-10-15T04:40:00,campus,33.0,04:40:00,2021-10-15
2554,2021-10-15T04:50:00,campus,33.3,04:50:00,2021-10-15
2564,2021-10-15T05:00:00,campus,33.6,05:00:00,2021-10-15
2574,2021-10-15T05:10:00,campus,33.7,05:10:00,2021-10-15
2584,2021-10-15T05:20:00,campus,33.8,05:20:00,2021-10-15
2594,2021-10-15T05:30:00,campus,34.3,05:30:00,2021-10-15
2604,2021-10-15T05:40:00,campus,33.8,05:40:00,2021-10-15
2614,2021-10-15T05:50:00,campus,33.6,05:50:00,2021-10-15
2624,2021-10-15T06:00:00,campus,34.1,06:00:00,2021-10-15
2634,2021-10-15T06:10:00,campus,35.8,06:10:00,2021-10-15
2644,2021-10-15T06:20:00,campus,37.5,06:20:00,2021-10-15
